0,1,2
"71.43 66.60 31.73 46.39
69.61 60.33 27.29 46.12
69.44 61.07 27.19 41.74
70.12 63.81 30.15 42.50
71.20 64.05 30.95 43.10",56.55,53.62
,51.74,48.97
,52.10,49.19
,54.08,51.61
,54.67,52.24
66.25 56.24 23.91 42.64,49.06,45.31
