0,1,2
"71.43 66.60 31.73 46.39
73.81 67.26 32.28 39.44
61.90 48.45 25.20 28.43
70.12 63.81 30.15 42.50
71.20 64.05 30.95 43.10",56.55,53.62
,56.01,54.58
,42.49,41.84
,54.08,51.61
,54.67,52.24
52.38 43.73 24.86 33.19,39.58,37.92
